date,open,high,low,close,diff,volume,ema12,ema26,macd_line,signal_line,macd_hist
2019-07-04,10110,10110,10100,10105,30,400613,10105.0,10105.0,0.0,0.0,0.0
2019-07-05,10105,10120,10105,10115,10,362374,10106.5385,10105.7407,0.7977,0.1595,0.64
2019-07-08,10130,10130,10085,10130,15,5030,10110.1479,10107.5377,2.6102,0.6497,1.96
2019-07-09,10110,10155,10105,10110,20,37933,10110.1252,10107.7201,2.4051,1.0008,1.4
2019-07-10,10110,10120,10105,10110,0,10920,10110.1059,10107.889,2.2169,1.244,0.97
2019-07-11,10120,10135,10105,10110,0,7371,10110.0896,10108.0454,2.0443,1.404,0.64
2019-07-12,10115,10125,10090,10125,15,56542,10112.3835,10109.3013,3.0823,1.7397,1.34
2019-07-15,10135,10140,10120,10130,5,21954,10115.0938,10110.8345,4.2592,2.2436,2.02
2019-07-16,10150,10150,10130,10135,5,8274,10118.1563,10112.6245,5.5317,2.9012,2.63
2019-07-17,10160,10160,10100,10135,0,25816,10120.7476,10114.282,6.4656,3.6141,2.85
2019-07-18,10120,10145,10100,10135,0,30188,10122.9403,10115.8166,7.1236,4.316,2.81
2019-07-19,10115,10145,10110,10145,10,28097,10126.3341,10117.9784,8.3557,5.1239,3.23
2019-07-22,10150,10155,10135,10150,5,14137,10129.975,10120.3504,9.6246,6.0241,3.6
2019-07-23,10150,10155,10140,10150,0,57723,10133.0558,10122.5466,10.5091,6.9211,3.59
2019-07-24,10175,10175,10150,10170,20,26540,10138.7395,10126.0617,12.6778,8.0724,4.61
2019-07-25,10175,10205,10170,10205,35,27360,10148.9334,10131.909,17.0244,9.8628,7.16
2019-07-26,10200,10210,10180,10205,0,25336,10157.559,10137.3231,20.2359,11.9375,8.3
2019-07-29,10215,10220,10210,10215,10,10451,10166.3961,10143.077,23.3192,14.2138,9.11
2019-07-30,10215,10215,10200,10215,0,64308,10173.8736,10148.4046,25.469,16.4648,9.0
2019-07-31,10180,10205,10180,10205,10,59267,10178.6623,10152.5968,26.0655,18.385,7.68
2019-08-01,10235,10235,10175,10185,20,36285,10179.6373,10154.9971,24.6403,19.636,5.0
2019-08-02,10200,10205,10175,10205,20,42355,10183.5393,10158.701,24.8383,20.6765,4.16
2019-08-05,10205,10225,10155,10205,0,10024,10186.8409,10162.1306,24.7104,21.4833,3.23
2019-08-06,10175,10185,10135,10185,20,62589,10186.5577,10163.8246,22.7331,21.7332,1.0
2019-08-07,10195,10200,10180,10195,10,57566,10187.8565,10166.1339,21.7226,21.7311,-0.01
2019-08-08,10195,10215,10165,10210,15,48382,10191.2632,10169.3832,21.88,21.7609,0.12
2019-08-09,10235,10240,10210,10225,15,63280,10196.4535,10173.503,22.9505,21.9988,0.95
2019-08-12,10235,10250,10220,10245,20,26746,10203.9222,10178.7991,25.1231,22.6237,2.5
2019-08-13,10230,10235,10210,10230,15,84606,10207.9342,10182.5917,25.3424,23.1674,2.18
2019-08-14,10205,10220,10185,10220,10,62962,10209.7904,10185.3627,24.4277,23.4195,1.01
2019-08-16,10180,10225,10180,10210,10,55319,10209.8227,10187.1877,22.635,23.2626,-0.63
2019-08-19,10240,10250,10205,10250,40,17387,10216.0038,10191.8405,24.1634,23.4427,0.72
2019-08-20,10255,10430,10230,10255,5,55527,10222.0032,10196.5189,25.4843,23.851,1.63
2019-08-21,10235,10240,10180,10200,55,78356,10218.6181,10196.7768,21.8413,23.4491,-1.61
2019-08-22,10215,10220,10210,10220,20,44363,10218.8307,10198.497,20.3337,22.826,-2.49
2019-08-23,10210,10245,10200,10240,20,118544,10222.0875,10201.5713,20.5162,22.3641,-1.85
2019-08-26,10260,10260,10155,10195,45,60473,10217.9202,10201.0846,16.8357,21.2584,-4.42
2019-08-27,10200,10205,10170,10185,10,21225,10212.8556,10199.8931,12.9625,19.5992,-6.64
2019-08-28,10210,10210,10185,10200,15,20120,10210.8778,10199.901,10.9768,17.8747,-6.9
2019-08-29,10195,10205,10185,10205,5,13549,10209.9735,10200.2787,9.6948,16.2387,-6.54
2019-08-30,10210,10235,10210,10225,20,29475,10212.2853,10202.1099,10.1753,15.026,-4.85
2019-09-02,10220,10225,10165,10195,30,37130,10209.626,10201.5833,8.0427,13.6294,-5.59
2019-09-03,10195,10205,10170,10195,0,12143,10207.3758,10201.0956,6.2802,12.1595,-5.88
2019-09-04,10195,10220,10175,10210,15,11056,10207.7796,10201.7552,6.0244,10.9325,-4.91
2019-09-05,10210,10225,10200,10220,10,7418,10209.6596,10203.1067,6.553,10.0566,-3.5
2019-09-06,10225,10230,10225,10230,10,10494,10212.7889,10205.0988,7.6901,9.5833,-1.89
2019-09-09,10225,10235,10200,10230,0,9816,10215.4368,10206.9433,8.4935,9.3653,-0.87
2019-09-10,10220,10225,10200,10220,10,12712,10216.1388,10207.9105,8.2283,9.1379,-0.91
2019-09-11,10210,10230,10200,10230,10,20816,10218.2713,10209.5467,8.7246,9.0553,-0.33
2019-09-16,10215,10215,10195,10195,35,13937,10214.6911,10208.4692,6.2219,8.4886,-2.27
2019-09-17,10195,10210,10190,10200,5,16061,10212.4309,10207.8418,4.5891,7.7087,-3.12
2019-09-18,10180,10210,10180,10210,10,695,10212.0569,10208.0017,4.0552,6.978,-2.92
2019-09-19,10210,10210,10200,10210,0,870,10211.7405,10208.1497,3.5908,6.3006,-2.71
2019-09-20,10215,10255,10205,10220,10,12115,10213.0112,10209.0275,3.9837,5.8372,-1.85
2019-09-23,10240,10245,10220,10235,15,13051,10216.3941,10210.9514,5.4427,5.7583,-0.32
