date,open,high,low,close,diff,volume,ema12,ema26,macd_line,signal_line,macd_hist
2024-07-12,24340,24565,24210,24520,0,113665,24520.0,24520.0,0.0,0.0,-1.0
2024-07-19,24555,25285,24555,25075,555,155838,24604.4106,24560.884,43.5267,8.5767,33.95
2024-07-26,25075,25320,24650,25230,155,130868,24699.5573,24610.1743,89.383,24.4991,63.88
2024-08-02,25460,25595,24920,24920,-310,183361,24733.0847,24632.9975,100.0872,39.3933,59.69
2024-08-09,24015,24985,21805,24490,-430,213991,24696.1137,24622.4637,73.65,46.1434,26.51
2024-08-16,24765,25555,24460,25365,875,69882,24797.8454,24677.1625,120.683,60.831,58.85
2024-08-23,25325,25525,24850,25275,-90,94705,24870.4165,24721.2021,149.2144,78.2464,69.97
2024-08-30,25375,25635,25110,25600,325,112750,24981.3797,24785.9386,195.4412,101.339,93.1
2024-09-06,25680,25880,25200,25225,-375,229014,25018.4322,24818.2819,200.1503,120.8092,78.34
2024-09-13,25225,25705,25185,25315,90,115245,25063.5376,24854.8726,208.665,138.1207,69.54
2024-09-20,25870,25870,25565,25750,435,48329,25167.9425,24920.812,247.1305,159.6005,86.53
2024-09-27,25845,25895,25610,25865,115,112621,25273.9589,24990.3654,283.5934,184.0326,98.56
2024-10-04,25825,25910,25580,25800,-65,101682,25353.9651,25050.007,303.9581,207.6632,95.29
2024-10-11,26000,26310,25980,26160,360,128055,25476.556,25131.7745,344.7815,234.6816,109.1
2024-10-18,26310,27070,26175,27030,870,285150,25712.8212,25271.6069,441.2143,275.3777,164.84
2024-10-25,27045,27195,26810,27045,15,268216,25915.434,25402.2436,513.1904,322.2373,189.95
2024-11-01,27045,27300,26020,26325,-720,158491,25977.7254,25470.2183,507.5071,358.7437,147.76
2024-11-08,26885,27365,26325,27135,810,182089,26153.7367,25592.8542,560.8826,398.574,161.31
2024-11-15,27325,28140,27085,27140,5,225604,26303.7388,25706.8244,596.9144,437.6559,158.26
2024-11-22,27100,27525,26565,27275,135,146593,26451.4591,25822.3438,629.1153,475.3819,152.73
2024-11-29,27900,28020,27545,27730,455,191827,26645.914,25962.8709,683.0431,516.3003,165.74
2024-12-06,27735,28235,27735,28110,380,166387,26868.5887,26121.0388,747.5499,561.8667,184.68
2024-12-13,28140,28535,28130,28350,240,198765,27093.8984,26285.2348,808.6635,610.4966,197.17
2024-12-20,28250,28400,27000,27470,-880,131726,27151.1001,26372.5104,778.5898,643.6184,133.97
2024-12-27,27640,28595,27640,28220,750,117442,27313.6705,26508.6054,805.0651,675.4306,128.63
2024-12-30,28220,28260,28060,28180,-40,31102,27445.4316,26631.7284,813.7032,702.6764,110.03
2025-01-03,28180,28200,27665,27720,-460,73109,27487.1911,26711.8957,775.2954,716.9856,57.31
2025-01-10,27805,28585,27455,27700,-20,160887,27519.5574,26784.6842,734.8732,720.5102,13.36
2025-01-17,27560,28095,27320,28000,300,128137,27592.6286,26874.2103,718.4183,720.098,-2.68
2025-01-24,28005,28420,27680,28040,40,190624,27660.6698,26960.088,700.5819,716.2525,-16.67
2025-01-31,28115,28620,28115,28580,540,53895,27800.4919,27079.4185,721.0734,717.2024,2.87
2025-02-07,28580,28660,27310,27385,-1195,257973,27737.2992,27101.9291,635.3701,701.0778,-66.71
2025-02-14,28145,28145,27120,27210,-175,202772,27657.1016,27109.8901,547.2115,670.7593,-124.55
2025-02-21,27365,27365,27010,27215,5,221468,27589.8618,27117.633,472.2288,631.64,-160.41
2025-02-28,27215,27335,26965,27250,35,225265,27538.1718,27127.3838,410.788,588.1224,-178.33
2025-03-07,27245,27585,26700,26885,-365,96048,27438.8301,27109.5287,329.3014,537.1232,-208.82
2025-03-14,26950,27400,25530,26195,-690,133759,27249.6544,27042.1601,207.4944,472.1717,-265.68
2025-03-21,26300,27430,26105,26645,450,78171,27157.6918,27012.9033,144.7884,407.6627,-263.87
2025-03-28,26645,27045,26575,26630,-15,76858,27077.4345,26984.6968,92.7376,345.6085,-253.87
2025-04-04,26625,26955,24250,24255,-2375,153870,26648.1669,26783.6142,-135.4473,250.8192,-387.27
2025-04-11,23045,25300,22350,23900,-355,258738,26230.1947,26571.1933,-340.9985,134.2048,-476.2
