date,open,high,low,close,diff,volume,ema12,ema26,macd_line,signal_line,macd_hist
2018-10-25,9810,9810,9790,9805,195,456,9805.0,9805.0,0.0,0.0,0.0
2018-10-26,9905,9960,9905,9960,155,303,9828.8462,9816.4815,12.3647,2.4729,9.89
2018-10-29,9780,9780,9635,9770,190,258269,9819.7929,9813.0384,6.7545,3.3292,3.43
2018-10-30,9800,9800,9700,9750,20,254552,9809.0555,9808.3689,0.6866,2.8007,-2.11
2018-10-31,9910,9915,9880,9905,155,253809,9823.8162,9815.5268,8.2895,3.8985,4.39
2018-11-01,9920,9920,9845,9890,15,251033,9833.9983,9821.0433,12.955,5.7098,7.25
2018-11-02,9950,9975,9915,9930,40,252348,9848.7678,9829.1142,19.6537,8.4986,11.16
2018-11-05,9875,9875,9780,9860,70,258085,9850.4959,9831.402,19.0939,10.6176,8.48
2018-11-06,9915,9940,9890,9940,80,256365,9864.2657,9839.4463,24.8194,13.458,11.36
2018-11-07,9970,9995,9905,9980,40,255622,9882.071,9849.8577,32.2133,17.209,15.0
2018-11-08,10060,10135,10060,10125,145,251045,9919.4447,9870.2386,49.2061,23.6085,25.6
2018-11-09,10100,10230,10100,10230,105,254487,9967.2224,9896.8876,70.3348,32.9537,37.38
2018-11-12,10135,10245,10135,10180,50,250534,9999.9574,9917.8589,82.0986,42.7827,39.32
2018-11-13,10170,10170,10100,10100,80,254245,10015.3486,9931.3508,83.9978,51.0257,32.97
2018-11-14,10100,10140,10080,10130,30,263996,10032.9873,9946.0656,86.9217,58.2049,28.72
2018-11-15,10060,10075,9995,10035,95,253988,10033.2969,9952.6533,80.6436,62.6927,17.95
2018-11-16,10110,10115,10045,10115,80,250495,10045.8666,9964.679,81.1876,66.3917,14.8
2018-11-19,10115,10135,10010,10125,10,251233,10058.041,9976.5546,81.4864,69.4106,12.08
2018-11-20,10040,10040,9975,9980,145,251559,10046.0347,9976.8098,69.2249,69.3735,-0.15
2018-11-21,9980,9980,9850,9885,95,251651,10021.2601,9970.0091,51.251,65.749,-14.5
2018-11-22,9875,9875,9830,9865,20,254015,9997.2201,9962.2306,34.9895,59.5971,-24.61
2018-11-23,9865,9890,9795,9875,10,251392,9978.417,9955.7691,22.6479,52.2072,-29.56
2018-11-26,9810,9885,9810,9865,10,260616,9960.9682,9949.0455,11.9228,44.1503,-32.23
2018-11-27,9940,9965,9935,9960,95,251792,9960.8193,9949.8569,10.9624,37.5127,-26.55
2018-11-28,9930,10025,9930,9990,30,252714,9965.3086,9952.8305,12.4781,32.5058,-20.03
2018-11-29,10050,10130,10035,10110,120,252556,9987.5688,9964.4727,23.0962,30.6239,-7.53
2018-11-30,10110,10110,10035,10110,0,250452,10006.4044,9975.2525,31.1519,30.7295,0.42
2018-12-03,10115,10155,10075,10100,10,255501,10020.8037,9984.493,36.3107,31.8457,4.46
2018-12-04,10100,10135,10080,10100,0,252823,10032.9878,9993.0491,39.9387,33.4643,6.47
2018-12-05,9890,9920,9825,9910,190,250683,10014.0666,9986.8973,27.1693,32.2053,-5.04
2018-12-06,9905,9955,9840,9955,45,255374,10004.9794,9984.5346,20.4449,29.8532,-9.41
2018-12-07,9935,9950,9910,9950,5,250261,9996.521,9981.9764,14.5446,26.7915,-12.25
2018-12-10,9835,9835,9730,9815,135,250627,9968.5947,9969.6078,-1.0131,21.2306,-22.24
2018-12-11,9855,9865,9790,9790,25,250257,9941.1186,9956.3035,-15.1849,13.9475,-29.13
2018-12-12,9800,9845,9770,9790,0,251251,9917.8696,9943.9848,-26.1152,5.9349,-32.05
2018-12-13,9880,9885,9825,9855,65,250317,9908.1973,9937.3933,-29.1959,-1.0912,-28.1
2018-12-14,9820,9925,9820,9925,70,505345,9910.7824,9936.4753,-25.6929,-6.0116,-19.68
2018-12-17,9655,9760,9655,9750,175,500992,9886.0466,9922.6623,-36.6157,-12.1324,-24.48
2018-12-18,9560,9560,9510,9550,200,503116,9834.3471,9895.0577,-60.7105,-21.848,-38.86
2018-12-19,9445,9450,9410,9425,125,500468,9771.3707,9860.2386,-88.8679,-35.252,-53.62
2018-12-20,9345,9345,9270,9285,140,501825,9696.5444,9817.6283,-121.0839,-52.4184,-68.67
2018-12-21,9180,9185,9130,9170,115,501887,9615.5376,9769.6559,-154.1183,-72.7584,-81.36
2018-12-24,9030,9030,8995,9010,160,3005,9522.3779,9713.385,-191.0071,-96.4081,-94.6
2018-12-26,8790,8790,8720,8780,230,913,9408.166,9644.2454,-236.0795,-124.3424,-111.74
2018-12-27,9140,9140,9045,9045,265,553,9352.2943,9599.8569,-247.5626,-148.9864,-98.58
2018-12-28,9120,9170,9120,9170,125,279,9324.249,9568.0156,-243.7666,-167.9425,-75.82
2019-01-02,9160,9260,9160,9250,80,459,9312.8261,9544.4589,-231.6328,-180.6805,-50.95
2019-01-03,9295,9350,9290,9290,40,169,9309.3144,9525.6101,-216.2957,-187.8036,-28.49
2019-01-04,9115,9125,9080,9095,195,1054,9276.3429,9493.7131,-217.3701,-193.7169,-23.65
2019-01-07,9350,9360,9295,9360,265,1007,9289.2132,9483.8084,-194.5951,-193.8925,-0.7
2019-01-08,9420,9465,9350,9410,50,212,9307.7958,9478.3411,-170.5453,-189.2231,18.68
2019-01-09,9535,9535,9500,9530,120,113,9341.9811,9482.1677,-140.1866,-179.4158,39.23
2019-01-10,9570,9575,9510,9570,40,979,9377.0609,9488.6738,-111.6129,-165.8552,54.24
2019-01-11,9630,9630,9530,9530,40,1150,9400.59,9491.735,-91.145,-150.9132,59.77
2019-01-14,9570,9650,9570,9640,110,279,9437.4223,9502.7176,-65.2953,-133.7896,68.49
2019-01-15,9610,9610,9520,9585,55,524,9460.1266,9508.8126,-48.686,-116.7689,68.08
