date,open,high,low,close,diff,volume,ema12,ema26,macd_line,signal_line,macd_hist
2016-12-06,6650,6870,6580,6680,30,67817,6680.0,6680.0,0.0,0.0,0.0
2016-12-07,6750,6750,6530,6680,0,60835,6680.0,6680.0,0.0,0.0,0.0
2016-12-08,6620,6810,6570,6750,70,42178,6690.7692,6685.1852,5.584,1.1168,4.47
2016-12-09,6760,7100,6760,7060,310,65384,6747.574,6712.9492,34.6247,7.8184,26.81
2016-12-12,7090,7090,6820,6880,180,37997,6767.9472,6725.3234,42.6238,14.7795,27.84
2016-12-13,6990,6990,6750,6800,80,62078,6772.8784,6730.855,42.0234,20.2283,21.8
2016-12-14,6830,6900,6750,6830,30,46827,6781.6663,6738.1991,43.4673,24.8761,18.59
2016-12-15,6880,7070,6810,7030,200,44694,6819.8715,6759.8139,60.0576,31.9124,28.15
2016-12-16,6960,7070,6930,7000,30,12946,6847.5836,6777.6055,69.9781,39.5255,30.45
2016-12-19,7000,7000,6800,6810,190,39275,6841.8015,6780.0051,61.7964,43.9797,17.82
2016-12-20,6810,6870,6790,6810,0,21306,6836.909,6782.2269,54.682,46.1202,8.56
2016-12-21,6820,6890,6780,6880,70,36205,6843.5384,6789.4694,54.069,47.7099,6.36
2016-12-22,6810,6930,6810,6840,40,19376,6842.994,6793.2124,49.7816,48.1243,1.66
2016-12-23,6920,6920,6710,6770,70,38296,6831.7641,6791.493,40.2712,46.5536,-6.28
2016-12-26,6790,6820,6740,6750,20,30365,6819.185,6788.4194,30.7656,43.396,-12.63
2016-12-27,6800,6830,6700,6820,70,56379,6819.3104,6790.7587,28.5517,40.4272,-11.88
2016-12-28,6830,6950,6800,6950,130,27983,6839.4165,6802.5544,36.8622,39.7142,-2.85
2016-12-29,6980,6980,6770,6850,100,78470,6841.0447,6806.0689,34.9759,38.7665,-3.79
2017-01-02,6990,7010,6870,6880,30,43914,6847.0379,6811.5452,35.4926,38.1117,-2.62
2017-01-03,6900,6900,6760,6810,70,38844,6841.3397,6811.4308,29.909,36.4712,-6.56
2017-01-04,6810,6820,6700,6720,90,57106,6822.6721,6804.6581,18.014,32.7797,-14.77
2017-01-05,6650,6900,6650,6800,80,44788,6819.1841,6804.3131,14.871,29.198,-14.33
2017-01-06,6800,6870,6690,6740,60,52148,6807.0019,6799.5491,7.4528,24.8489,-17.4
2017-01-09,6800,6800,6640,6720,20,32500,6793.617,6793.6566,-0.0396,19.8712,-19.91
2017-01-10,6800,6810,6740,6810,90,25197,6796.1375,6794.8672,1.2702,16.151,-14.88
2017-01-11,6820,7360,6820,7250,440,215786,6865.9625,6828.5808,37.3817,20.3972,16.98
2017-01-12,7240,7420,7100,7400,150,69895,6948.1221,6870.9081,77.214,31.7605,45.45
2017-01-13,7400,7400,7260,7300,100,89553,7002.2571,6902.6927,99.5644,45.3213,54.24
2017-01-16,7220,7420,7140,7320,20,47145,7051.1407,6933.6044,117.5363,59.7643,57.77
2017-01-17,7320,7400,7260,7310,10,24137,7090.9652,6961.4855,129.4797,73.7074,55.77
2017-01-18,7280,7470,7280,7330,20,39021,7127.7398,6988.7829,138.9569,86.7573,52.2
2017-01-19,7360,7650,7360,7650,320,127986,7208.0875,7037.7619,170.3256,103.4709,66.85
2017-01-20,7570,8100,7570,7980,330,191066,7326.8433,7107.5573,219.2859,126.6339,92.65
2017-01-23,8000,8050,7720,7780,200,86247,7396.5597,7157.3679,239.1918,149.1455,90.05
2017-01-24,7820,8000,7780,7910,130,67093,7475.5505,7213.1184,262.4321,171.8028,90.63
2017-01-25,7980,7990,7650,7650,260,56258,7502.3889,7245.48,256.9089,188.824,68.08
2017-01-26,7650,7730,7500,7660,10,40035,7526.6368,7276.1852,250.4515,201.1495,49.3
2017-01-31,7660,7690,7430,7490,170,43079,7521.0003,7292.0233,228.977,206.715,22.26
2017-02-01,7610,7990,7480,7970,480,114828,7590.0772,7342.2438,247.8334,214.9387,32.89
2017-02-02,7970,8000,7830,7870,100,42888,7633.1422,7381.3369,251.8054,222.312,29.49
2017-02-03,7930,7930,7650,7820,50,51612,7661.8896,7413.8305,248.0591,227.4614,20.6
2017-02-06,7820,7890,7650,7860,40,38183,7692.3681,7446.88,245.4881,231.0668,14.42
2017-02-07,7870,8500,7870,8480,620,293135,7813.5423,7523.4075,290.1348,242.8804,47.25
2017-02-08,8370,8560,8300,8500,20,93826,7919.1511,7595.7476,323.4035,258.985,64.42
2017-02-09,8450,8500,8250,8450,50,47055,8000.8202,7659.0256,341.7946,275.5469,66.25
2017-02-10,8450,8830,8400,8800,350,105457,8123.7709,7743.5422,380.2287,296.4833,83.75
2017-02-13,8850,9480,8840,9300,500,329253,8304.7293,7858.8354,445.8939,326.3654,119.53
2017-02-14,9350,9350,9130,9300,0,112689,8457.8478,7965.5883,492.2595,359.5442,132.72
2017-02-15,8650,8780,8340,8340,960,715400,8439.7174,7993.3225,446.3949,376.9143,69.48
2017-02-16,8340,8740,8220,8680,340,584084,8476.6839,8044.1875,432.4964,388.0308,44.47
2017-02-17,9430,9500,8420,8540,140,1311281,8486.4249,8080.9144,405.5105,391.5267,13.98
2017-02-20,8500,8530,8240,8270,270,234839,8453.1287,8094.9207,358.208,384.863,-26.65
2017-02-21,8280,8730,8270,8570,300,209205,8471.1089,8130.1118,340.9972,376.0898,-35.09
2017-02-22,8500,8810,8500,8730,160,169786,8510.9383,8174.5479,336.3904,368.1499,-31.76
2017-02-23,8790,9170,8600,8990,260,257601,8584.6401,8234.9518,349.6883,364.4576,-14.77
2017-02-24,9010,9380,9010,9300,310,280163,8694.6955,8313.8443,380.8512,367.7363,13.11
2017-02-27,9300,9390,9070,9170,130,212345,8767.8193,8377.2632,390.5561,372.3003,18.26
2017-02-28,9110,9280,9070,9230,60,256337,8838.924,8440.4289,398.4951,377.5392,20.96
2017-03-02,2565,2590,2295,2295,15,1482350,7832.1665,7985.2119,-153.0455,271.4223,-424.47
2017-03-03,2290,2340,2125,2310,15,526126,6982.6024,7564.8259,-582.2235,100.6931,-682.92
2017-03-06,2310,2320,2230,2265,45,187224,6256.8174,7172.2462,-915.4288,-102.5312,-812.9
2017-03-07,2200,2365,2200,2340,75,320518,5654.2301,6814.302,-1160.0719,-314.0394,-846.03
2017-03-08,2340,2385,2325,2380,40,247581,5150.5024,6485.8352,-1335.3328,-518.2981,-817.03
2017-03-09,2410,2530,2405,2500,120,249880,4742.7328,6190.5881,-1447.8553,-704.2095,-743.65
2017-03-10,2500,2715,2470,2650,150,675205,4420.7739,5928.3224,-1507.5484,-864.8773,-642.67
2017-03-13,2650,2910,2600,2910,260,644473,4188.3472,5704.7429,-1516.3958,-995.181,-521.21
2017-03-14,2930,2980,2805,2890,20,477397,3988.6014,5496.2434,-1507.642,-1097.6732,-409.97
2017-03-15,2865,3085,2850,2910,20,500235,3822.6628,5304.6699,-1482.0071,-1174.54,-307.47
2017-03-16,2980,3010,2880,3005,95,268301,3696.8685,5134.3239,-1437.4555,-1227.1231,-210.33
2017-03-17,3050,3050,2865,2910,95,371627,3575.8118,4969.5592,-1393.7474,-1260.4479,-133.3
2017-03-20,2920,2985,2750,2905,5,195851,3472.61,4816.6289,-1344.0189,-1277.1621,-66.86
2017-03-21,2540,2735,2500,2690,215,1960026,3352.2084,4659.1008,-1306.8924,-1283.1082,-23.78
2017-03-22,2630,2705,2580,2645,45,419306,3243.4071,4509.9082,-1266.501,-1279.7868,13.29
2017-03-23,2620,2640,2460,2550,95,1975294,3136.7291,4364.7298,-1228.0007,-1269.4295,41.43
2017-03-24,2590,2590,2510,2540,10,384844,3044.9246,4229.5646,-1184.64,-1252.4716,67.83
2017-03-27,2550,2550,2445,2450,90,532616,2953.3978,4097.745,-1144.3472,-1230.8467,86.5
2017-03-28,2425,2445,2325,2350,100,1317900,2860.5673,3968.2824,-1107.7151,-1206.2204,98.51
2017-03-29,2350,2430,2300,2335,15,1163071,2779.7108,3847.2985,-1067.5877,-1178.4939,110.91
2017-03-30,2340,2385,2275,2320,15,704872,2708.9861,3734.1653,-1025.1792,-1147.8309,122.65
2017-03-31,2340,2360,2295,2340,20,892710,2652.219,3630.8938,-978.6748,-1113.9997,135.32
2017-04-03,2345,2395,2330,2340,0,473911,2604.1853,3535.272,-931.0867,-1077.4171,146.33
2017-04-04,2350,2510,2345,2500,160,2382096,2588.1568,3458.5852,-870.4284,-1036.0194,165.59
2017-04-05,2490,2490,2400,2405,95,964696,2559.9788,3380.5419,-820.563,-992.9281,172.37
2017-04-06,2390,2445,2350,2390,15,345144,2533.8282,3307.1684,-773.3402,-949.0105,175.67
2017-04-07,2390,2425,2310,2365,25,497499,2507.8547,3237.3782,-729.5235,-905.1131,175.59
2017-04-10,2360,2410,2240,2290,75,768936,2474.3386,3167.202,-692.8634,-862.6632,169.8
2017-04-11,2290,2375,2275,2365,75,409893,2457.5172,3107.7796,-650.2624,-820.183,169.92
2017-04-12,2390,2450,2360,2395,30,407569,2447.8992,3054.9811,-607.0819,-777.5628,170.48
2017-04-13,2430,2430,2350,2390,5,314963,2438.9916,3005.7233,-566.7316,-735.3966,168.67
2017-04-14,2400,2400,2305,2310,80,336265,2419.1468,2954.1882,-535.0414,-695.3255,160.28
2017-04-17,2320,2355,2310,2325,15,167292,2404.6627,2907.5817,-502.919,-656.8442,153.93
2017-04-18,2320,2490,2320,2475,150,1583390,2415.4838,2875.5386,-460.0548,-617.4864,157.43
2017-04-19,2510,2630,2490,2605,130,2632605,2444.6401,2855.4987,-410.8586,-576.1608,165.3
2017-04-20,2625,2730,2560,2635,30,1451137,2473.9263,2839.1655,-365.2392,-533.9765,168.74
2017-04-21,2650,2680,2555,2575,60,447036,2489.4761,2819.5976,-330.1216,-493.2055,163.08
2017-04-24,2500,2685,2460,2680,105,1442846,2518.7874,2809.2571,-290.4696,-452.6583,162.19
2017-04-25,2700,2750,2605,2650,30,947061,2538.974,2797.4603,-258.4863,-413.8239,155.34
2017-04-26,2680,2685,2615,2635,15,514003,2553.7472,2785.4262,-231.6789,-377.3949,145.72
2017-04-27,2625,2665,2570,2635,0,466301,2566.2476,2774.2835,-208.0358,-343.5231,135.49
2017-04-28,2595,2710,2595,2650,15,647185,2579.1326,2765.0773,-185.9447,-312.0074,126.06
2017-05-02,2605,2690,2585,2660,10,275139,2591.5738,2757.2938,-165.72,-282.7499,117.03
2017-05-04,2660,2815,2660,2770,110,921876,2619.024,2758.235,-139.211,-254.0422,114.83
2017-05-08,2790,2830,2710,2760,10,534048,2640.7126,2758.3657,-117.6532,-226.7644,109.11
2017-05-10,2730,2775,2615,2650,110,635617,2642.1414,2750.3386,-108.1972,-203.0509,94.85
2017-05-11,2660,2690,2600,2650,0,442672,2643.3504,2742.9062,-99.5557,-182.3519,82.8
2017-05-12,2635,2885,2590,2860,210,1513516,2676.6811,2751.5798,-74.8986,-160.8612,85.96
2017-05-15,2900,2905,2770,2780,80,685780,2692.5763,2753.685,-61.1086,-140.9107,79.8
2017-05-16,2780,2830,2710,2810,30,455197,2710.6415,2757.8565,-47.2149,-122.1716,74.96
2017-05-17,2810,2815,2740,2800,10,433879,2724.389,2760.9782,-36.5892,-105.0551,68.47
2017-05-18,2730,2870,2730,2870,70,653634,2746.7907,2769.0539,-22.2632,-88.4967,66.23
2017-05-19,2850,2850,2785,2845,25,471062,2761.8998,2774.6795,-12.7797,-73.3533,60.57
2017-05-22,2815,2850,2795,2815,30,378574,2770.0691,2777.6662,-7.5972,-60.2021,52.6
2017-05-23,2820,2925,2815,2885,70,866046,2787.7507,2785.6169,2.1339,-47.7349,49.87
2017-05-24,2905,3025,2885,3000,115,1364082,2820.4045,2801.4971,18.9074,-34.4065,53.31
2017-05-25,3045,3100,2960,3035,35,1546283,2853.4192,2818.7936,34.6255,-20.6001,55.23
2017-05-26,3065,3200,3065,3155,120,2106948,2899.8162,2843.6978,56.1184,-5.2564,61.37
2017-05-29,3170,3210,3090,3190,35,1145865,2944.4599,2869.3498,75.1101,10.8169,64.29
2017-05-30,3190,3360,3190,3340,150,1899835,3005.3122,2904.2128,101.0994,28.8734,72.23
2017-05-31,3355,3445,3250,3395,55,901088,3065.2642,2940.5674,124.6968,48.0381,76.66
2017-06-01,3445,3550,3350,3540,145,1109310,3138.3005,2984.9698,153.3306,69.0966,84.23
2017-06-02,3595,3730,3495,3530,10,2142538,3198.5619,3025.3424,173.2195,89.9212,83.3
2017-06-05,3535,3835,3460,3805,275,2419002,3291.8601,3083.0948,208.7653,113.69,95.08
2017-06-07,3820,4020,3820,4010,205,3122039,3402.3432,3151.7545,250.5887,141.0697,109.52
2017-06-08,4065,4135,3935,4045,35,2153421,3501.2134,3217.9208,283.2926,169.5143,113.78
2017-06-09,4110,4110,4005,4050,5,1113466,3585.6421,3279.5563,306.0858,196.8286,109.26
2017-06-12,4000,4050,3910,3985,65,1131161,3647.0818,3331.8114,315.2704,220.517,94.75
2017-06-13,3860,4385,3860,4200,215,3023138,3732.1461,3396.1217,336.0245,243.6185,92.41
2017-06-14,4210,4280,4085,4190,10,1594980,3802.5852,3454.9275,347.6577,264.4263,83.23
2017-06-15,4190,4340,4140,4260,70,1645817,3872.9567,3514.5625,358.3942,283.2199,75.17
2017-06-16,4260,4270,4105,4105,155,1061176,3908.6557,3558.2986,350.3571,296.6473,53.71
2017-06-19,4105,4295,4100,4170,65,1599409,3948.8625,3603.6098,345.2527,306.3684,38.88
2017-06-20,4170,4200,3975,4030,140,1449303,3961.3452,3635.1943,326.1509,310.3249,15.83
