date,open,high,low,close,diff,volume,ema12,ema26,macd_line,signal_line,macd_hist
2024-07-12,539,542,510,532,0,1526442,532.0,532.0,0.0,0.0,-1.0
2024-07-19,532,547,528,533,1,707900,532.1521,532.0737,0.0784,0.0155,-0.94
2024-07-26,533,570,527,561,28,1083610,536.5396,534.2045,2.3351,0.4725,0.86
2024-08-02,562,577,549,555,-6,954005,539.3473,535.7364,3.6109,1.0909,1.52
2024-08-09,555,557,505,544,-11,1056980,540.0549,536.3451,3.7098,1.6069,1.1
2024-08-16,542,585,532,559,15,788531,542.9363,538.014,4.9223,2.2602,1.66
2024-08-23,552,579,549,561,2,708263,545.6836,539.7073,5.9764,2.9925,1.98
2024-08-30,555,571,548,559,-2,404722,547.7089,541.1285,6.5805,3.6995,1.88
2024-09-06,559,565,514,532,-27,395484,545.3197,540.456,4.8637,3.9289,-0.07
2024-09-13,505,543,501,515,-17,561069,540.7084,538.5808,2.1276,3.5739,-2.45
2024-09-20,515,562,510,562,47,322287,543.9466,540.306,3.6407,3.5871,-0.95
2024-09-27,563,566,510,531,-31,444563,541.9776,539.6205,2.3571,3.3447,-1.99
2024-10-04,541,546,494,520,-11,190196,538.635,538.1751,0.4599,2.7763,-3.32
2024-10-11,517,885,515,836,316,74745729,583.8616,560.1143,23.7473,6.9085,15.84
2024-10-18,783,873,596,606,-230,138424267,587.2287,563.4945,23.7342,10.2239,12.51
2024-10-25,600,770,565,739,133,89127785,610.3117,576.4231,33.8887,14.8869,18.0
2024-11-01,801,999,670,825,86,213837435,642.964,594.7345,48.2295,21.4569,25.77
2024-11-08,840,913,725,749,-76,42621852,659.0911,606.0984,52.9927,27.6708,24.32
2024-11-15,745,769,629,660,-89,17709831,659.2293,610.069,49.1603,31.9052,16.26
2024-11-22,660,677,612,639,-21,5624171,656.1526,612.2002,43.9524,34.279,8.67
2024-11-29,645,687,625,651,12,6537330,655.369,615.0584,40.3105,35.4675,3.84
2024-12-06,651,772,605,650,-1,22465041,654.5524,617.6324,36.92,35.7537,0.17
2024-12-13,650,691,618,689,39,6930540,659.7916,622.8897,36.9019,35.98,-0.08
2024-12-20,689,697,650,669,-20,2765445,661.1921,626.2864,34.9057,35.7683,-1.86
2024-12-27,669,694,649,690,21,2357551,665.5735,630.9798,34.5937,35.5368,-1.94
2024-12-30,672,722,664,676,-14,1214762,667.1593,634.2962,32.8631,35.01,-3.15
2025-01-03,672,722,670,722,46,1467979,675.5001,640.7569,34.7432,34.9574,-1.21
2025-01-10,726,772,712,724,2,3830669,682.8765,646.889,35.9875,35.1604,-0.17
2025-01-17,726,859,704,779,55,18387022,697.496,656.6209,40.8751,36.2864,3.59
2025-01-24,781,1322,776,1120,341,224754561,761.7552,690.7557,70.9995,43.1265,26.87
2025-01-31,1125,1167,1004,1058,-62,15324980,806.8114,717.8087,89.0028,52.1661,35.84
2025-02-07,1037,1037,890,918,-140,17773102,823.7223,732.5557,91.1665,59.8509,30.32
2025-02-14,916,921,841,860,-58,9110057,829.2398,741.9439,87.2959,65.2588,21.04
2025-02-21,865,940,708,714,-146,25393377,811.7128,739.8854,71.8274,66.5531,4.27
2025-02-28,714,921,692,712,-2,64353372,796.5474,737.8312,58.7161,65.0089,-7.29
2025-03-07,703,714,658,702,-10,5935664,782.1675,735.1917,46.9758,61.4556,-15.48
2025-03-14,702,717,673,716,14,2583965,772.104,733.778,38.3261,56.898,-19.57
2025-03-21,716,725,681,697,-19,1869961,760.6814,731.0687,29.6126,51.5216,-22.91
2025-03-28,690,706,661,675,-22,1413814,747.65,726.9384,20.7115,45.4507,-25.74
2025-04-04,672,679,645,673,-2,2085576,736.2964,722.9651,13.3313,39.1217,-26.79
2025-04-11,653,679,620,667,-6,2160169,725.757,718.8424,6.9146,32.7755,-26.86
2025-04-18,667,689,652,657,-10,1757741,715.2997,714.2868,1.0129,26.5168,-26.5
2025-04-25,652,661,613,633,-24,2294194,702.7826,708.2988,-5.5162,20.2049,-26.72
2025-05-02,633,740,626,696,63,5202976,701.751,707.3928,-5.6418,15.112,-21.75
2025-05-09,706,720,684,684,-12,1786910,699.0513,705.6696,-6.6184,10.8301,-18.45
2025-05-16,683,704,654,663,-21,1363459,693.5682,702.5264,-8.9582,6.9309,-16.89
2025-05-23,654,670,617,620,-43,1885077,682.3791,696.4471,-14.068,2.7932,-17.86
2025-05-30,620,627,601,609,-11,1492240,671.2188,690.0053,-18.7865,-1.4589,-18.33
2025-06-05,609,647,602,635,26,893940,665.7102,685.9533,-20.2431,-5.1603,-16.08
2025-06-13,636,706,629,670,35,6145266,666.3627,684.7781,-18.4155,-7.7721,-11.64
2025-06-20,665,670,628,635,-35,2401925,661.5927,681.1112,-19.5186,-10.0867,-10.43
2025-06-27,635,775,613,715,80,12018132,669.7155,683.6077,-13.8922,-10.8365,-4.06
2025-07-04,715,780,712,753,38,4792739,682.3823,688.7194,-6.3371,-9.95,2.61
2025-07-11,745,747,682,692,-61,2601308,683.8451,688.9611,-5.116,-8.9975,2.88
2025-07-18,690,692,656,664,-28,1220493,680.8268,687.1223,-6.2955,-8.4651,1.17
2025-07-25,677,690,655,660,-4,1389814,677.6592,685.1244,-7.4651,-8.268,-0.2
2025-08-01,655,693,623,637,-23,1496653,671.4753,681.5793,-10.104,-8.6298,-2.47
2025-08-08,637,667,626,632,-5,906397,665.4715,677.927,-12.4556,-9.3836,-4.07
