date,open,high,low,close,diff,volume,ema12,ema26,macd_line,signal_line,macd_hist
2024-07-12,25620,26225,25470,25840,0,402367,25840.0,25840.0,0.0,0.0,-1.0
2024-07-19,25840,26300,25770,26005,165,449034,25865.0951,25852.1547,12.9404,2.5498,9.39
2024-07-26,25995,26065,25480,25985,-20,449490,25883.3316,25861.9407,21.3908,6.2623,14.13
2024-08-02,26120,26490,25655,25725,-260,321886,25859.2507,25851.853,7.3977,6.4861,-0.09
2024-08-09,24915,25505,23800,25420,-305,720129,25792.4445,25820.0406,-27.5961,-0.2296,-28.37
2024-08-16,25440,25800,24955,25175,-245,294630,25698.5366,25772.5238,-73.9872,-14.7632,-60.22
2024-08-23,25430,25430,24830,25325,150,300455,25641.725,25739.5571,-97.8321,-31.1314,-67.7
2024-08-30,25090,25675,24980,25635,310,339043,25640.7021,25731.8549,-91.1527,-42.9583,-49.19
2024-09-06,25890,25945,24600,25145,-490,339621,25565.3102,25688.6243,-123.3141,-58.7919,-65.52
2024-09-13,25000,25800,25000,25600,455,313714,25570.5862,25682.0958,-111.5096,-69.1797,-43.33
2024-09-20,25600,26040,25510,26040,440,168343,25641.9799,25708.4608,-66.4808,-68.6479,1.17
2024-09-27,26310,26495,26115,26360,320,301855,25751.1845,25756.4563,-5.2718,-56.16,49.89
2024-10-04,26400,26400,25490,25715,-645,172499,25745.6812,25753.4024,-7.7213,-46.6154,37.89
2024-10-11,25875,25875,25160,25480,-235,283682,25705.2734,25733.2623,-27.9889,-42.9452,13.96
2024-10-18,25645,26045,25450,25665,185,266353,25699.1482,25728.2338,-29.0856,-40.2142,10.13
2024-10-25,25675,25855,25200,25280,-385,298176,25635.3994,25695.2147,-59.8153,-44.0765,-16.74
2024-11-01,25295,25575,25065,25130,-150,344938,25558.5326,25653.5783,-95.0457,-54.1197,-41.93
2024-11-08,25470,25805,24665,25115,-15,319901,25491.0751,25613.904,-122.8288,-67.6584,-56.17
2024-11-15,25125,25490,24610,24620,-495,345253,25358.5922,25540.6882,-182.096,-90.2077,-92.89
2024-11-22,24610,24770,23670,24650,30,425336,25250.8215,25475.0758,-224.2543,-116.6208,-108.63
2024-11-29,24945,25595,24875,25040,390,384914,25218.7574,25443.026,-224.2686,-137.8322,-87.44
2024-12-06,25090,26255,25090,26065,1025,368448,25347.4635,25488.8436,-141.3801,-138.5313,-3.85
2024-12-13,26065,26490,25840,26120,55,350331,25464.9596,25535.3377,-70.3781,-125.1021,53.72
2024-12-20,26300,26525,25580,25705,-415,255266,25501.4676,25547.8358,-46.3682,-109.588,62.22
2024-12-27,25705,27285,25380,25900,195,340764,25562.0809,25573.7779,-11.697,-90.2992,77.6
2024-12-30,25905,26000,25705,25940,40,47528,25619.5591,25600.7556,18.8035,-68.8011,86.6
2025-01-03,25760,26060,25700,26045,105,68469,25684.2649,25633.4808,50.7841,-45.2375,95.02
2025-01-10,26060,26060,25105,25345,-700,161621,25632.6657,25612.2299,20.4358,-32.297,51.73
2025-01-17,25340,25340,24430,24520,-825,153901,25463.439,25531.771,-68.332,-39.3975,-29.93
2025-01-24,24540,24800,23970,24365,-155,378032,25296.376,25445.821,-149.445,-61.0817,-89.36
2025-01-31,24400,24840,24345,24830,465,86781,25225.4443,25400.4567,-175.0124,-83.5311,-92.48
2025-02-07,24830,25220,24560,24740,-90,433926,25151.6125,25351.8042,-200.1918,-106.5184,-94.67
2025-02-14,24740,24740,24010,24085,-655,507005,24989.39,25258.4853,-269.0953,-138.5533,-131.54
2025-02-21,24085,24150,23700,23800,-285,497127,24808.4942,25151.0463,-342.552,-178.7501,-164.8
2025-02-28,23780,23780,23170,23530,-270,576275,24614.0464,25031.6322,-417.5857,-225.8113,-192.77
2025-03-07,23530,23675,22630,23640,110,551473,24465.9025,24929.1178,-463.2153,-272.5904,-191.62
2025-03-14,23640,23800,23320,23545,-95,464790,24325.8413,24827.157,-501.3158,-317.6594,-184.66
2025-03-21,23540,24975,23440,24940,1395,261498,24419.2494,24835.4696,-416.2201,-337.0803,-80.14
2025-03-28,24940,25700,24935,25345,405,265716,24560.048,24873.0041,-312.956,-332.3267,18.37
