date,open,high,low,close,diff,volume,ema12,ema26,macd_line,signal_line,macd_hist
2016-12-06,10350,10360,10290,10345,25,431,10345.0,10345.0,0.0,0.0,0.0
2016-12-07,10390,10390,10340,10365,20,114,10348.0769,10346.4815,1.5954,0.3191,1.28
2016-12-08,10355,10390,10350,10390,25,758,10354.5266,10349.7051,4.8216,1.2196,3.6
2016-12-09,10470,10520,10000,10520,130,1862,10379.9841,10362.3195,17.6646,4.5086,13.16
2016-12-12,10545,10575,10465,10475,45,626,10394.6019,10370.6662,23.9357,8.394,15.54
2016-12-13,10440,10460,10385,10445,30,589,10402.3555,10376.1724,26.183,11.9518,14.23
2016-12-14,10515,10525,10455,10520,75,1173,10420.4546,10386.8263,33.6283,16.2871,17.34
2016-12-15,10425,10525,10425,10450,70,258,10425.0001,10391.5058,33.4942,19.7285,13.77
2016-12-16,10435,10445,10390,10420,30,1702,10424.2308,10393.6165,30.6143,21.9057,8.71
2016-12-19,10485,10485,10170,10465,45,628,10430.503,10398.9042,31.5988,23.8443,7.75
2016-12-20,10445,10500,10445,10460,5,282,10435.041,10403.4298,31.6112,25.3977,6.21
2016-12-21,10475,10485,10440,10485,25,130,10442.727,10409.472,33.255,26.9691,6.29
2016-12-22,10440,10465,10330,10380,105,307,10433.0767,10407.2889,25.7878,26.7329,-0.95
2016-12-23,10385,10430,10325,10400,20,429,10427.988,10406.749,21.239,25.6341,-4.4
2016-12-26,10405,10405,10260,10290,110,467,10406.7591,10398.1009,8.6581,22.2389,-13.58
2016-12-27,10340,10370,10330,10330,40,20,10394.95,10393.0564,1.8935,18.1698,-16.28
2016-12-28,10480,10480,10440,10470,140,644,10406.4961,10398.7559,7.7402,16.0839,-8.34
2016-12-29,10425,10435,10370,10435,35,89,10410.8813,10401.4407,9.4406,14.7552,-5.31
2017-01-02,10590,10650,10590,10620,185,1343,10443.0534,10417.6303,25.4232,16.8888,8.53
2017-01-03,10635,10700,10605,10690,70,1440,10481.0452,10437.8058,43.2394,22.1589,21.08
2017-01-04,10615,10645,10615,10645,45,348,10506.269,10453.1535,53.1155,28.3503,24.77
2017-01-05,10665,10700,10560,10655,10,917,10529.1507,10468.1051,61.0456,34.8893,26.16
2017-01-06,10630,10660,10610,10615,40,783,10542.3583,10478.9862,63.3721,40.5859,22.79
2017-01-09,10620,10785,10620,10780,165,845,10578.9186,10501.2835,77.635,47.9957,29.64
2017-01-10,10730,10730,10570,10655,125,1509,10590.6234,10512.6699,77.9535,53.9873,23.97
2017-01-11,10615,10715,10600,10715,60,10807,10609.7583,10527.6574,82.1009,59.61,22.49
2017-01-12,10790,10835,10710,10760,45,862,10632.8724,10544.8679,88.0045,65.2889,22.72
2017-01-13,10735,10735,10620,10630,130,1953,10632.4305,10551.174,81.2565,68.4824,12.77
2017-01-16,10630,10665,10580,10665,35,348,10637.4412,10559.6056,77.8356,70.353,7.48
2017-01-17,10700,10775,10685,10685,20,1761,10644.7579,10568.894,75.8639,71.4552,4.41
2017-01-18,10680,10680,10560,10670,15,708,10648.6413,10576.3834,72.2579,71.6158,0.64
2017-01-19,10670,10760,10625,10760,90,192,10665.7734,10589.9846,75.7888,72.4504,3.34
2017-01-20,10720,10720,10485,10625,135,1014,10659.5006,10592.5783,66.9223,71.3447,-4.42
2017-01-23,10545,10550,10480,10535,90,795,10640.3466,10588.3133,52.0334,67.4825,-15.45
2017-01-24,10525,10645,10525,10645,110,373,10641.0625,10592.5123,48.5503,63.696,-15.15
2017-01-25,10690,10725,10660,10725,80,852,10653.976,10602.3262,51.6498,61.2868,-9.64
2017-01-26,10765,10765,10740,10740,15,3446,10667.2105,10612.5242,54.6862,59.9667,-5.28
2017-01-31,10795,10945,10795,10815,75,1605,10689.9473,10627.5225,62.4249,60.4583,1.97
2017-02-01,10750,10770,10715,10770,45,1478,10702.2631,10638.0763,64.1868,61.204,2.98
2017-02-02,10940,10975,10900,10900,130,3039,10732.6842,10657.4781,75.2061,64.0044,11.2
2017-02-03,10900,10900,10845,10865,35,1143,10753.0405,10672.8501,80.1904,67.2416,12.95
2017-02-06,10905,10965,10905,10965,100,688,10785.6496,10694.4908,91.1588,72.025,19.13
2017-02-07,10945,10990,10895,10960,5,1676,10812.4728,10714.1582,98.3146,77.283,21.03
2017-02-08,10955,10970,10900,10950,10,1042,10833.6308,10731.6279,102.0029,82.2269,19.78
2017-02-09,10980,11015,10955,10955,5,2747,10852.303,10748.174,104.129,86.6073,17.52
2017-02-10,11100,11120,11085,11095,140,885,10889.641,10773.8648,115.7762,92.4411,23.34
2017-02-13,11055,11145,11055,11100,5,5894,10922.0039,10798.023,123.9809,98.7491,25.23
2017-02-14,11075,11110,10970,10970,130,6339,10929.3879,10810.762,118.6259,102.7244,15.9
2017-02-15,11000,11025,10935,10935,35,1332,10930.2513,10819.9648,110.2865,104.2368,6.05
2017-02-16,10940,11260,10940,11030,95,2444,10945.5973,10835.523,110.0743,105.4043,4.67
2017-02-17,11000,11100,10965,11080,50,2157,10966.2746,10853.6324,112.6422,106.8519,5.79
2017-02-20,11060,11100,10990,11100,20,12188,10986.8477,10871.8819,114.9659,108.4747,6.49
2017-02-21,11155,11160,11115,11130,30,641,11008.8712,10891.0017,117.8695,110.3536,7.52
2017-02-22,11155,11170,11075,11160,30,3245,11032.1218,10910.9275,121.1942,112.5218,8.67
2017-02-23,11155,11300,11110,11170,10,1227,11053.3338,10930.1181,123.2157,114.6606,8.56
2017-02-24,11140,11140,11090,11095,75,579,11059.744,10942.3315,117.4124,115.2109,2.2
2017-02-27,11145,11355,11105,11110,15,1717,11067.4757,10954.7514,112.7242,114.7136,-1.99
2017-02-28,11095,11095,11015,11015,95,1436,11059.4025,10959.2143,100.1882,111.8085,-11.62
2017-03-02,11130,11355,11130,11250,235,3648,11088.7252,10980.754,107.9712,111.0411,-3.07
2017-03-03,11240,11300,11190,11270,20,4775,11116.6136,11002.1796,114.434,111.7196,2.71
