date,open,high,low,close,diff,volume,ema12,ema26,macd_line,signal_line,macd_hist
2024-07-12,16240,16540,15470,15490,0,651647,15490.0,15490.0,0.0,0.0,-1.0
2024-07-19,15540,15870,14350,14730,-760,611614,15374.4106,15434.0147,-59.6041,-11.7446,-48.86
2024-07-26,14680,14760,12810,12820,-1910,882603,14985.9071,15241.4538,-255.5467,-59.7845,-196.76
2024-08-02,12940,13140,12020,12240,-580,533847,14568.2787,15020.3522,-452.0736,-137.0828,-315.99
2024-08-09,11900,11960,10010,11600,-640,1012915,14116.8294,14768.3926,-651.5631,-238.4582,-414.1
2024-08-16,11500,12100,11400,11800,200,347629,13764.4599,14549.7265,-785.2665,-346.2037,-440.06
2024-08-23,11810,12000,11290,11400,-400,258174,13404.8463,14317.7024,-912.8561,-457.8594,-456.0
2024-08-30,11410,11530,10840,11220,-180,237819,13072.5503,14089.5107,-1016.9604,-568.0271,-449.93
2024-09-06,11220,11470,10070,10200,-1020,354272,12635.6605,13802.9906,-1167.3301,-686.1163,-482.21
2024-09-13,9960,12780,9900,11200,1000,2347194,12417.3091,13611.2417,-1193.9327,-786.1787,-408.75
2024-09-20,11590,13630,11300,12130,930,3155357,12373.6119,13502.1263,-1128.5144,-853.634,-275.88
2024-09-27,12000,12170,11110,11370,-760,884620,12220.9713,13345.0636,-1124.0923,-906.9263,-218.17
2024-10-04,11320,11320,10320,10630,-740,237377,11978.9985,13145.0589,-1166.0605,-957.9872,-209.07
2024-10-11,10890,11300,10600,10610,-20,368756,11770.7858,12958.3142,-1187.5285,-1003.217,-185.31
2024-10-18,10610,11000,10170,10340,-270,352099,11553.1758,12765.4366,-1212.2608,-1044.4079,-168.85
2024-10-25,10480,10760,10000,10080,-260,437735,11329.1186,12567.6144,-1238.4958,-1082.6518,-156.84
2024-11-01,10060,10360,9750,9810,-270,542990,11098.074,12364.4752,-1266.4012,-1118.8586,-148.54
2024-11-08,9840,10270,9780,9890,80,270795,10914.3365,12182.1934,-1267.8569,-1148.2179,-120.64
2024-11-15,9850,9890,7950,8170,-1720,693620,10496.9469,11886.6359,-1389.689,-1195.7984,-194.89
2024-11-22,8030,8430,8010,8080,-90,228406,10129.3504,11606.2207,-1476.8703,-1251.182,-226.69
2024-11-29,8100,8390,7860,7990,-90,264920,9803.9739,11339.8325,-1535.8585,-1307.2759,-229.58
2024-12-06,7960,8670,7810,8130,140,574326,9549.3771,11103.3807,-1554.0036,-1355.8922,-199.11
2024-12-13,7910,9260,7740,9120,990,477873,9484.0726,10957.2753,-1473.2027,-1379.0076,-95.2
2024-12-20,9260,9880,8990,9110,-10,581513,9427.1794,10821.1961,-1394.0167,-1381.965,-13.05
2024-12-27,9160,11000,9020,9180,70,1958563,9389.5856,10700.2977,-1310.7121,-1367.925,56.21
2024-12-30,9050,9200,9000,9120,-60,55480,9348.584,10583.8853,-1235.3013,-1341.7923,105.49
2025-01-03,9120,9580,9000,9530,410,245117,9376.1758,10506.251,-1130.0753,-1300.0746,169.0
2025-01-10,9560,9960,9400,9620,90,466455,9413.2593,10440.9655,-1027.7062,-1246.406,217.7
2025-01-17,9530,9640,9120,9420,-200,306763,9414.2845,10365.7563,-951.4718,-1188.2909,235.82
2025-01-24,9440,10440,9360,10190,770,645604,9532.2641,10352.8092,-820.5452,-1115.8287,294.28
2025-01-31,10260,10390,9910,10230,40,150273,9638.3836,10343.7625,-705.3789,-1034.9519,328.57
2025-02-07,10000,10380,9130,10140,-90,919793,9714.6751,10328.7524,-614.0773,-952.0209,336.94
2025-02-14,10100,13480,9750,13060,2920,4962075,10223.4697,10529.9492,-306.4795,-824.8206,517.34
2025-02-21,14360,14800,12670,12840,-220,4330415,10621.4211,10700.1187,-78.6976,-677.8013,598.1
2025-02-28,12570,13410,11350,12260,-580,1585094,10870.6346,10815.0271,55.6075,-533.2873,587.89
2025-03-07,11870,12220,11200,11900,-360,645082,11027.1921,10894.9515,132.2406,-402.1488,533.39
2025-03-14,11900,12330,10880,11930,30,633819,11164.5013,10971.1981,193.3032,-284.8183,477.12
2025-03-21,12340,13010,11580,12430,500,1282730,11356.9726,11078.6605,278.3121,-173.8567,451.17
2025-03-28,12770,13850,11150,11160,-1270,2348114,11327.0148,11084.6524,242.3624,-91.8431,333.21
2025-04-04,10880,11000,9800,10040,-1120,326126,11131.2711,11007.6982,123.5728,-49.3966,171.97
2025-04-11,9650,9830,8790,9820,-220,384245,10931.8382,10920.2066,11.6316,-37.3713,48.0
2025-04-18,10010,10290,9750,10020,200,185649,10793.1556,10853.8931,-60.7375,-41.9755,-19.76
2025-04-25,10020,10580,9850,10320,300,296812,10721.1928,10814.5639,-93.3712,-52.1027,-42.27
2025-05-02,10480,10620,10020,10260,-60,214349,10651.0494,10773.7121,-122.6627,-66.0062,-57.66
2025-05-09,10270,10570,10180,10360,100,83350,10606.7833,10743.2361,-136.4527,-79.8873,-57.57
2025-05-16,10440,11400,10180,10220,-140,365409,10547.957,10704.692,-156.735,-95.0297,-62.71
2025-05-23,10150,10200,9280,9840,-380,274759,10440.2829,10640.9946,-200.7117,-115.8537,-85.86
2025-05-30,9850,10350,9740,9990,150,156013,10371.7988,10593.0392,-221.2404,-136.6196,-85.62
2025-06-05,9990,10670,9910,10670,680,148862,10417.1526,10598.7085,-181.5559,-145.474,-37.08
2025-06-13,10950,11460,10580,10910,240,443883,10492.1104,10621.6397,-129.5293,-142.3322,11.8
2025-06-20,10630,11490,10560,11310,400,332953,10616.5042,10672.3477,-55.8434,-125.2901,68.45
2025-06-27,11100,11860,10800,11130,-180,323506,10694.6025,10706.0605,-11.4581,-102.8601,90.4
2025-07-04,11370,11600,10880,11230,100,243471,10776.0317,10744.6564,31.3753,-76.4098,106.79
2025-07-11,11450,11560,11050,11420,190,220078,10873.9737,10794.4055,79.5682,-45.6752,124.24
2025-07-18,11540,12380,11250,12030,610,424821,11049.7952,10885.4254,164.3698,-4.287,167.66
2025-07-25,12050,12230,11290,11290,-740,224340,11086.3282,10915.2283,171.0999,30.272,139.83
