date,open,high,low,close,diff,volume,ema12,ema26,macd_line,signal_line,macd_hist
2016-12-06,9200,9480,9200,9260,10,166412,9260.0,9260.0,0.0,0.0,0.0
2016-12-07,9280,9740,9280,9620,360,286856,9315.3846,9286.6667,28.7179,5.7436,22.97
2016-12-08,9630,10050,9510,9510,110,428193,9345.3254,9303.2099,42.1156,13.018,29.1
2016-12-09,9430,9700,9430,9570,60,124486,9379.8908,9322.9721,56.9187,21.7981,35.12
2016-12-12,9560,10000,9540,10000,430,226424,9475.2922,9373.1223,102.1699,37.8725,64.3
2016-12-13,10100,10100,9830,10000,0,230805,9556.0165,9419.5577,136.4588,57.5897,78.87
2016-12-14,10050,10100,9800,10000,0,143651,9624.3216,9462.5534,161.7682,78.4254,83.34
2016-12-15,10000,10250,9750,10250,250,280011,9720.5798,9520.8828,199.697,102.6797,97.02
2016-12-16,10200,10200,9930,10000,250,180736,9763.5676,9556.373,207.1946,123.5827,83.61
2016-12-19,10100,10500,9970,10350,350,294622,9853.7879,9615.1602,238.6278,146.5917,92.04
2016-12-20,10350,10400,10050,10250,100,98538,9914.7436,9662.1853,252.5583,167.785,84.77
2016-12-21,10350,10750,10250,10700,450,345660,10035.5523,9739.0605,296.4918,193.5264,102.97
2016-12-22,10750,11100,10550,10850,150,427444,10160.8519,9821.3523,339.4996,222.721,116.78
2016-12-23,10850,10950,10450,10550,300,257755,10220.7209,9875.3262,345.3947,247.2558,98.14
2016-12-26,10500,10750,10450,10550,0,155933,10271.3792,9925.302,346.0772,267.02,79.06
2016-12-27,10550,10950,10550,10900,350,173187,10368.0901,9997.5019,370.5882,287.7337,82.85
2016-12-28,11000,11000,10700,10850,50,87108,10442.2301,10060.6499,381.5802,306.503,75.08
2016-12-29,10900,11700,10800,11350,500,383344,10581.887,10156.1573,425.7297,330.3483,95.38
2017-01-02,11500,11550,11150,11250,100,227770,10684.6736,10237.1827,447.4909,353.7768,93.71
2017-01-03,11350,11400,10700,10700,550,273399,10687.0315,10271.4655,415.5661,366.1347,49.43
2017-01-04,10850,10900,10550,10800,100,246396,10704.4113,10310.6162,393.7951,371.6668,22.13
2017-01-05,10900,11100,10700,11050,250,161540,10757.5788,10365.3853,392.1934,375.7721,16.42
2017-01-06,11000,11200,10800,11000,50,190355,10794.8744,10412.3938,382.4805,377.1138,5.37
2017-01-09,11100,11200,10850,11150,150,154726,10849.5091,10467.0313,382.4777,378.1866,4.29
2017-01-10,11150,11450,11000,11000,150,174432,10872.6615,10506.5105,366.151,375.7795,-9.63
2017-01-11,11100,11700,10900,11650,650,369744,10992.2521,10591.2134,401.0386,380.8313,20.21
2017-01-12,11850,12800,11800,12450,800,855105,11216.521,10728.9013,487.6197,402.189,85.43
2017-01-13,12250,12500,11900,12500,50,424529,11413.9793,10860.0938,553.8855,432.5283,121.36
2017-01-16,12500,12550,11900,12000,500,271666,11504.1363,10944.5313,559.605,457.9436,101.66
2017-01-17,12050,12400,11650,11800,200,356816,11549.6538,11007.8994,541.7544,474.7058,67.05
2017-01-18,11750,12350,11650,12000,200,356281,11618.9378,11081.3883,537.5495,487.2745,50.27
2017-01-19,12050,13000,12000,12600,600,552197,11769.8705,11193.878,575.9924,505.0181,70.97
2017-01-20,12650,12950,12450,12800,200,263286,11928.3519,11312.85,615.5019,527.1149,88.39
2017-01-23,12800,13050,12400,12500,300,244030,12016.2978,11400.7871,615.5107,544.794,70.72
2017-01-24,12500,12800,12350,12650,150,159565,12113.7904,11493.3214,620.4691,559.929,60.54
2017-01-25,12750,13400,12400,13300,650,354675,12296.2842,11627.1494,669.1348,581.7702,87.36
2017-01-26,13450,13450,12950,13150,150,252661,12427.6251,11739.9532,687.6719,602.9505,84.72
2017-01-31,13150,14100,13150,13650,500,492034,12615.6828,11881.4381,734.2447,629.2094,105.04
2017-02-01,13700,13800,13350,13650,0,206581,12774.8085,12012.4427,762.3658,655.8407,106.53
2017-02-02,13600,13650,13200,13200,450,178593,12840.2226,12100.4099,739.8127,672.6351,67.18
2017-02-03,13200,13600,12900,13350,150,202583,12918.6499,12192.9721,725.6777,683.2436,42.43
2017-02-06,13450,13600,12550,12800,550,280928,12900.3961,12237.9372,662.4589,679.0867,-16.63
2017-02-07,12800,13200,12450,12850,50,333261,12892.6428,12283.2751,609.3677,665.1429,-55.78
2017-02-08,12900,13200,12650,13150,300,229396,12932.2362,12347.477,584.7592,649.0661,-64.31
2017-02-09,13050,13700,12950,13650,500,300674,13042.6614,12443.9602,598.7012,638.9932,-40.29
2017-02-10,13700,13700,13100,13150,500,266150,13059.1751,12496.2594,562.9156,623.7777,-60.86
2017-02-13,13000,13050,12750,12800,350,178419,13019.302,12518.7587,500.5432,599.1308,-98.59
2017-02-14,12800,13150,12750,12800,0,236621,12985.5632,12539.5914,445.9718,568.499,-122.53
2017-02-15,12900,13300,12800,13300,500,121836,13033.9381,12595.918,438.0201,542.4032,-104.38
2017-02-16,13300,13650,13100,13500,200,193745,13105.6399,12662.887,442.7529,522.4731,-79.72
2017-02-17,13450,14100,13400,13950,450,361568,13235.5415,12758.2287,477.3128,513.4411,-36.13
2017-02-20,14050,14100,13650,13800,150,224690,13322.3812,12835.397,486.9843,508.1497,-21.17
2017-02-21,13750,13900,13550,13650,150,104477,13372.7841,12895.7379,477.0462,501.929,-24.88
2017-02-22,13600,13900,13500,13650,0,127157,13415.4327,12951.6092,463.8235,494.3079,-30.48
2017-02-23,13750,13850,12800,13100,550,472247,13366.9046,12962.6011,404.3035,476.307,-72.0
2017-02-24,13000,13500,12950,13200,100,264666,13341.227,12980.1862,361.0408,453.2538,-92.21
