date,open,high,low,close,diff,volume,ema12,ema26,macd_line,signal_line,macd_hist
2016-12-06,25200,25265,25200,25240,155,166,25240.0,25240.0,0.0,0.0,0.0
2016-12-07,25250,25375,25240,25305,65,846,25250.0,25244.8148,5.1852,1.037,4.15
2016-12-08,25470,25490,25305,25485,180,342,25286.1538,25262.6063,23.5475,5.5391,18.01
2016-12-09,25445,25610,25395,25610,125,361,25335.9763,25288.3392,47.6372,13.9587,33.68
2016-12-12,25740,25935,25660,25780,170,502,25404.2877,25324.7585,79.5292,27.0728,52.46
2016-12-13,25780,25780,25520,25715,65,483,25452.0896,25353.6653,98.4243,41.3431,57.08
2016-12-14,25720,26115,25720,26115,400,705,25554.0758,25410.0604,144.0153,61.8776,82.14
2016-12-15,26115,26325,26115,26225,110,394,25657.2949,25470.4263,186.8686,86.8758,99.99
2016-12-16,26130,26420,26130,26410,185,733,25773.0957,25540.0244,233.0713,116.1149,116.96
2016-12-19,26385,26385,26295,26340,70,2375,25860.3117,25599.2818,261.0299,145.0979,115.93
2016-12-20,26140,26610,26140,26485,145,292,25956.4176,25664.8906,291.527,174.3837,117.14
2016-12-21,26485,26730,26485,26675,190,327,26066.9688,25739.7135,327.2552,204.958,122.3
2016-12-22,26625,26780,26610,26780,105,332,26176.6659,25816.7718,359.8941,235.9452,123.95
2016-12-23,26830,26830,26720,26780,0,680,26269.4865,25888.122,381.3645,265.0291,116.34
2016-12-26,27560,27560,26620,26775,5,1632,26347.2578,25953.8167,393.4411,290.7115,102.73
2016-12-27,27200,27200,26740,26960,185,663,26441.5258,26028.3488,413.1771,315.2046,97.97
2016-12-28,26960,27140,26960,27130,170,3360,26547.4449,26109.9526,437.4924,339.6622,97.83
2016-12-29,27080,27080,26790,26790,340,787,26584.7611,26160.3264,424.4347,356.6167,67.82
2017-01-02,26810,26810,26485,26665,125,578,26597.1055,26197.7097,399.3959,365.1725,34.22
2017-01-03,26665,26735,26540,26735,70,1955,26618.3201,26237.509,380.8111,368.3002,12.51
2017-01-04,26785,26835,26700,26815,80,1068,26648.5785,26280.2861,368.2925,368.2987,-0.01
2017-01-05,26690,26690,26505,26505,310,897,26626.4895,26296.9315,329.558,360.5505,-30.99
2017-01-06,26485,26700,26480,26640,135,319,26628.5681,26322.344,306.224,349.6852,-43.46
2017-01-09,26690,27300,26690,27300,660,737,26731.8653,26394.763,337.1023,347.1686,-10.07
2017-01-10,27245,27245,27000,27005,295,1892,26773.886,26439.9657,333.9203,344.519,-10.6
2017-01-11,26965,27315,26965,27235,230,242,26844.8266,26498.8572,345.9695,344.8091,1.16
2017-01-12,27285,27285,26905,26965,270,1270,26863.3148,26533.3863,329.9286,341.833,-11.9
2017-01-13,26870,26900,26810,26835,130,206,26858.9587,26555.728,303.2307,334.1125,-30.88
2017-01-16,26855,26910,26855,26910,75,130,26866.8112,26581.9704,284.8408,324.2582,-39.42
2017-01-17,26910,27075,26805,26805,105,1140,26857.3018,26598.4911,258.8107,311.1687,-52.36
2017-01-18,26750,26750,26520,26595,210,867,26816.9477,26598.2325,218.7152,292.678,-73.96
2017-01-19,26635,26940,26585,26855,260,1073,26822.8019,26617.2523,205.5496,275.2523,-69.7
2017-01-20,27040,27040,26710,26770,85,1806,26814.6785,26628.567,186.1116,257.4241,-71.31
2017-01-23,27040,27040,26550,26550,220,525,26773.9587,26622.7472,151.2116,236.1816,-84.97
2017-01-24,26625,26670,26600,26625,75,598,26751.042,26622.9141,128.128,214.5709,-86.44
2017-01-25,26860,26995,26805,26910,285,164,26775.4971,26644.1797,131.3174,197.9202,-66.6
2017-01-26,26960,27070,26900,27050,140,1101,26817.7283,26674.2404,143.4879,187.0337,-43.55
2017-01-31,27050,27100,26850,26860,190,1483,26824.2316,26688.0004,136.2312,176.8732,-40.64
2017-02-01,26860,26860,26715,26850,10,438,26828.196,26700.0004,128.1956,167.1377,-38.94
2017-02-02,26810,26830,26550,26595,255,1460,26792.3197,26692.2226,100.0971,153.7296,-53.63
2017-02-03,27370,27370,26075,26695,100,2366,26777.3474,26692.4283,84.9191,139.9675,-55.05
2017-02-06,26720,26720,26470,26535,160,1655,26740.0632,26680.767,59.2963,123.8332,-64.54
2017-02-07,26535,26780,26535,26745,210,994,26740.8227,26685.525,55.2978,110.1262,-54.83
2017-02-08,26745,26870,26745,26870,125,162,26760.6961,26699.1898,61.5064,100.4022,-38.9
2017-02-09,26955,26955,26800,26890,20,436,26780.589,26713.3239,67.2652,93.7748,-26.51
2017-02-10,27060,27150,27025,27150,260,1816,26837.4215,26745.6702,91.7513,93.3701,-1.62
2017-02-13,27200,27240,27045,27240,90,839,26899.3567,26782.2873,117.0694,98.1099,18.96
2017-02-14,27305,27305,27020,27020,220,844,26917.9172,26799.8956,118.0216,102.0923,15.93
2017-02-15,27210,27270,27130,27150,130,2625,26953.6222,26825.8293,127.7929,107.2324,20.56
2017-02-16,27150,27370,27150,27370,220,281,27017.6803,26866.1382,151.5421,116.0943,35.45
2017-02-17,27370,27415,27340,27415,45,2222,27078.8064,26906.7946,172.0118,127.2778,44.73
2017-02-20,27530,27680,27480,27675,260,1553,27170.5285,26963.6987,206.8298,143.1882,63.64
2017-02-21,27675,27675,27450,27625,50,1339,27240.4472,27012.684,227.7632,160.1032,67.66
2017-02-22,27650,27670,27580,27670,45,271,27306.5323,27061.3741,245.1582,177.1142,68.04
2017-02-23,27620,27620,27410,27510,160,2204,27337.835,27094.6056,243.2293,190.3372,52.89
2017-02-24,27295,27320,27155,27240,270,1081,27322.7835,27105.3756,217.4079,195.7514,21.66
2017-02-27,27290,27415,27255,27415,175,365,27336.9706,27128.3107,208.6599,198.3331,10.33
2017-02-28,27345,27450,27320,27335,80,1009,27336.6674,27143.6211,193.0464,197.2757,-4.23
2017-03-02,27580,27900,27580,27810,475,2529,27409.4878,27192.9825,216.5054,201.1217,15.38
2017-03-03,27760,27975,27710,27975,165,953,27496.4897,27250.9097,245.58,210.0133,35.57
